,date,raw,smooth,minpreds,avgpreds,maxpreds
0,2020-01-22,0.0,-0.23485599031668924,,,
1,2020-01-23,0.0,-0.16883150626536853,,,
2,2020-01-24,0.0,-0.07054993698859313,,,
3,2020-01-25,0.0,0.031080988410539367,,,
4,2020-01-26,0.0,0.11346476032162287,,,
5,2020-01-27,0.0,0.17078654635915597,,,
6,2020-01-28,0.0,0.20412032306387917,,,
7,2020-01-29,0.0,0.21608199281046164,,,
8,2020-01-30,0.0,0.20949524717966453,,,
9,2020-01-31,0.0,0.18719999487464942,,,
10,2020-02-01,0.0,0.1520368755353735,,,
11,2020-02-02,0.0,0.10684654926012313,,,
12,2020-02-03,0.0,0.05446972480513217,,,
13,2020-02-04,0.0,-0.002251742509932622,,,
14,2020-02-05,0.0,-0.06046053449654858,,,
15,2020-02-06,0.0,-0.11718781946007731,,,
16,2020-02-07,0.0,-0.16911151066800964,,,
17,2020-02-08,0.0,-0.2129705615635642,,,
18,2020-02-09,0.0,-0.2487713002174345,0.0,0.0,0.0
19,2020-02-10,0.0,-0.2856263742484457,1.06304,1.06304,1.06304
20,2020-02-11,0.0,-0.3492954240368351,1.2577441684210529,1.2577441684210529,1.2577441684210529
21,2020-02-12,0.0,-0.4850468282148522,1.4881079112833409,1.4881079112833409,1.4881079112833409
22,2020-02-13,0.0,-0.728136446740221,1.7606613769897266,1.7606613769897266,1.7606613769897266
23,2020-02-14,0.0,-1.0617754705751512,2.083130220564981,2.083130220564981,2.083130220564981
24,2020-02-15,0.0,-1.4353857133631984,2.4646543411146933,2.4646543411146933,2.4646543411146933
25,2020-02-16,0.0,-1.823310370572405,2.9160465889411795,2.9160465889411795,2.9160465889411795
26,2020-02-17,0.0,-2.289682559049303,3.450098725153011,3.450098725153011,3.450098725153011
27,2020-02-18,0.0,-2.98995577775494,4.081943235286215,4.081943235286215,4.081943235286215
28,2020-02-19,0.0,-3.9900285315417885,4.829481152569184,4.829481152569184,4.829481152569184
29,2020-02-20,0.0,-5.155845474992871,5.713887876696996,5.713887876696996,5.713887876696996
30,2020-02-21,1.0,-6.25152677458414,6.760211127504175,6.760211127504175,6.760211127504175
31,2020-02-22,1.0,-6.958096712599859,7.998077704191293,7.998077704191293,7.998077704191293
32,2020-02-23,1.0,-6.958017856541693,9.462528692304545,9.462528692304545,9.462528692304545
33,2020-02-24,4.0,-6.176210480351763,11.19500624383133,11.19500624383133,11.19500624383133
34,2020-02-25,3.0,-4.8438594116426295,13.244519131280294,13.244519131280294,13.244519131280294
35,2020-02-26,2.0,-3.091121903803293,15.66901903481782,15.66901903481782,15.66901903481782
36,2020-02-27,5.0,-0.6190350436063904,18.5370250621674,18.5370250621674,18.5370250621674
37,2020-02-28,4.0,2.850933575296497,21.929540432048075,21.929540432048075,21.929540432048075
38,2020-02-29,8.0,7.189828629323588,25.942312687312608,25.942312687312608,25.942312687312608
39,2020-03-01,5.0,12.081291398798758,30.66441834935454,30.665007107575725,30.665595865796913
40,2020-03-02,18.0,17.708725833274233,36.20670045871699,36.20902440344556,36.211348348174134
41,2020-03-03,27.0,25.413137010062375,42.690287367898335,42.696386740485586,42.70248611307284
42,2020-03-04,28.0,36.79696847704018,50.24562519029016,50.25889144097073,50.272157691651294
43,2020-03-05,41.0,52.16282750700324,59.01218175366252,59.037929731263276,59.06367770886403
44,2020-03-06,49.0,70.75375969510092,69.1397234215328,69.1858490337433,69.2319746459538
45,2020-03-07,36.0,91.76654030852674,80.79155461225903,80.86924002068452,80.94692542910998
46,2020-03-08,133.0,114.62332618998329,94.149132895504,94.27357916811951,94.39802544073504
47,2020-03-09,97.0,139.46890121553952,109.41657226066454,109.60778027564217,109.79898829061982
48,2020-03-10,168.0,167.2989853539593,126.8231176388024,127.10678629052953,127.39045494225664
49,2020-03-11,196.0,198.71835411912286,146.62164799642753,147.03029954695228,147.438951097477
50,2020-03-12,189.0,233.31543335140245,169.0813960793609,169.6558639108652,170.23033174236954
51,2020-03-13,250.0,270.46195714425414,194.47326149690088,195.2646814822283,196.0561014675557
52,2020-03-14,175.0,309.6621048757452,223.04639786461806,224.1188264511904,225.19125503776274
53,2020-03-15,368.0,350.3809224950321,254.99529081983775,256.42902316848426,257.86275551713084
54,2020-03-16,349.0,392.297746530543,290.41747891491,292.313047338938,294.208615762966
55,2020-03-17,345.0,435.1060339362757,329.2636287164865,331.7463101648555,334.22899161322454
56,2020-03-18,475.0,477.7823072709072,371.28405262725437,374.50849158247456,377.73293053769476
57,2020-03-19,427.0,518.8805428335783,415.97890959350497,420.1331729370753,424.2874362806457
58,2020-03-20,627.0,557.4664941022844,462.5627142730755,467.8707759762734,473.17883767947126
59,2020-03-21,793.0,593.0635887580532,509.9561859586121,516.677583108516,523.3989802584201
60,2020-03-22,651.0,625.2749438196852,556.8181331850398,565.2434850561399,573.6688369272399
61,2020-03-23,601.0,653.9581561980041,601.625308364194,612.0667084151946,622.5081084661954
62,2020-03-24,743.0,679.1305945015648,642.7984574080739,655.5745332091235,668.3506090101731
63,2020-03-25,683.0,700.4328914701279,678.8598414932476,694.2764659334157,709.6930903735838
64,2020-03-26,712.0,717.293195670444,708.5954564007524,726.9243989526766,745.2533415046008
65,2020-03-27,919.0,729.7664013672821,731.189230985903,752.6480036596645,774.1067763334261
66,2020-03-28,889.0,738.5203771997276,746.300333194368,771.0366681074192,795.7730030204705
67,2020-03-29,756.0,744.1061151220171,754.0681054151992,782.1517048952255,810.235304375252
68,2020-03-30,812.0,746.6706007515191,755.0474998848092,786.4701230421765,817.8927461995438
69,2020-03-31,837.0,746.0411696612914,750.094399115183,784.7775185589703,819.4606380027577
70,2020-04-01,727.0,741.7851414031113,740.2293197646422,778.0371130701524,815.8449063756625
71,2020-04-02,760.0,733.7095174833598,726.5078433041427,767.2625996930597,808.0173560819765
72,2020-04-03,766.0,722.2819884439945,709.9186675192245,753.415872196209,796.9130768731933
73,2020-04-04,681.0,708.1806725845468,691.3194449870342,737.3406227763365,783.3618005656389
74,2020-04-05,525.0,692.0697981341407,671.4104010341674,719.7328740720312,768.055347109895
75,2020-04-06,636.0,674.9972805155878,650.7384208442659,701.1420950882768,751.5457693322878
76,2020-04-07,604.0,658.3474143947761,629.7205438836863,681.9924455886594,734.2643472936326
77,2020-04-08,542.0,642.7663863819024,608.6752451521182,662.6127021154401,716.550159078762
78,2020-04-09,610.0,627.2436668752165,587.8517547116139,643.2649221491326,698.6780895866515
79,2020-04-10,570.0,610.3781727287324,567.4511099709135,624.165138707996,680.8791674450786
80,2020-04-11,619.0,592.078955270527,547.6367161279878,605.4934494028851,663.3501826777822
